"Year","Month","Var","Value","EPU"
"1980","06","gulf stream index",-0.150136577258596,"All"
"1980","07","gulf stream index",0.429725781839248,"All"
"1980","08","gulf stream index",0.24884119748166,"All"
"1980","09","gulf stream index",-0.00481005801465571,"All"
"1980","1","gulf stream index",-0.755043634030925,"All"
"1980","11","gulf stream index",0.228728761947149,"All"
"1980","12","gulf stream index",-0.195532875838299,"All"
"1981","01","gulf stream index",0.162535782950346,"All"
"1981","02","gulf stream index",-0.553043134013769,"All"
"1981","03","gulf stream index",-0.132501020266523,"All"
"1981","04","gulf stream index",-0.719246403078384,"All"
"1981","05","gulf stream index",-0.867386352600895,"All"
"1981","06","gulf stream index",-0.582050295358608,"All"
"1981","07","gulf stream index",-0.831347363709429,"All"
"1981","08","gulf stream index",-0.932057564761626,"All"
"1981","09","gulf stream index",0.227993024346966,"All"
"1981","1","gulf stream index",-1.0256693477388,"All"
"1981","11","gulf stream index",-1.05392058964299,"All"
"1981","12","gulf stream index",-0.659668738686505,"All"
"1982","01","gulf stream index",-0.914115202800066,"All"
"1982","02","gulf stream index",-1.33972824735878,"All"
"1982","03","gulf stream index",-0.187046031466781,"All"
"1982","04","gulf stream index",-0.277843175196606,"All"
"1982","05","gulf stream index",-0.474425934737307,"All"
"1982","06","gulf stream index",-1.06532795176804,"All"
"1982","07","gulf stream index",-0.985324000676469,"All"
"1982","08","gulf stream index",-0.0401064455550841,"All"
"1982","09","gulf stream index",0.00477749964210353,"All"
"1982","1","gulf stream index",-0.265738319113703,"All"
"1982","11","gulf stream index",0.244440511845401,"All"
"1982","12","gulf stream index",0.178298859601005,"All"
"1983","01","gulf stream index",-0.0335826185862538,"All"
"1983","02","gulf stream index",-0.0166318794261115,"All"
"1983","03","gulf stream index",-0.505212569760591,"All"
"1983","04","gulf stream index",-0.0816828082902485,"All"
"1983","05","gulf stream index",0.159101957775451,"All"
"1983","06","gulf stream index",0.136692413463732,"All"
"1983","07","gulf stream index",-0.461658529396084,"All"
"1983","08","gulf stream index",-0.779156344825967,"All"
"1983","09","gulf stream index",-0.674385443914657,"All"
"1983","1","gulf stream index",-0.713705249769205,"All"
"1983","11","gulf stream index",0.173739867463942,"All"
"1983","12","gulf stream index",-0.197423937772648,"All"
"1984","01","gulf stream index",-0.885319349967697,"All"
"1984","02","gulf stream index",-0.11234628323369,"All"
"1984","03","gulf stream index",0.368970071782363,"All"
"1984","04","gulf stream index",0.703589696496966,"All"
"1984","05","gulf stream index",-0.109684278050388,"All"
"1984","06","gulf stream index",0.54221668165889,"All"
"1984","07","gulf stream index",0.41992966171296,"All"
"1984","08","gulf stream index",0.68706928131883,"All"
"1984","09","gulf stream index",0.546560241711241,"All"
"1984","1","gulf stream index",0.843571986152315,"All"
"1984","11","gulf stream index",0.817819175537692,"All"
"1984","12","gulf stream index",1.12484973790014,"All"
"1985","01","gulf stream index",1.26307706801707,"All"
"1985","02","gulf stream index",0.361275219983216,"All"
"1985","03","gulf stream index",0.634472433915884,"All"
"1985","04","gulf stream index",0.418996696100488,"All"
"1985","05","gulf stream index",0.0845251616744325,"All"
"1985","06","gulf stream index",1.36590786011891,"All"
"1985","07","gulf stream index",0.89030963211749,"All"
"1985","08","gulf stream index",0.592769263863628,"All"
"1985","09","gulf stream index",0.631562315701174,"All"
"1985","1","gulf stream index",1.17338589375055,"All"
"1985","11","gulf stream index",0.495977186014993,"All"
"1985","12","gulf stream index",-0.102285769459453,"All"
"1986","01","gulf stream index",0.442032834354928,"All"
"1986","02","gulf stream index",0.35057313685075,"All"
"1986","03","gulf stream index",-0.692340449109617,"All"
"1986","04","gulf stream index",1.13845334222757,"All"
"1986","05","gulf stream index",0.478976954685986,"All"
"1986","06","gulf stream index",0.655289622470937,"All"
"1986","07","gulf stream index",-0.542033282517583,"All"
"1986","08","gulf stream index",0.0904639644514629,"All"
"1986","09","gulf stream index",-0.499868959221032,"All"
"1986","1","gulf stream index",0.197461830924279,"All"
"1986","11","gulf stream index",0.700472554977657,"All"
"1986","12","gulf stream index",-0.159624227875561,"All"
"1987","01","gulf stream index",0.15177044209031,"All"
"1987","02","gulf stream index",-1.38162382533977,"All"
"1987","03","gulf stream index",-1.66241542936984,"All"
"1987","04","gulf stream index",-0.764362577811301,"All"
"1987","05","gulf stream index",-0.527322893073025,"All"
"1987","06","gulf stream index",-0.532980058460502,"All"
"1987","07","gulf stream index",-0.42585573270939,"All"
"1987","08","gulf stream index",-0.499545306958692,"All"
"1987","09","gulf stream index",-0.599502806106145,"All"
"1987","1","gulf stream index",0.140754941807772,"All"
"1987","11","gulf stream index",-0.749370243645115,"All"
"1987","12","gulf stream index",-1.41422640236997,"All"
"1988","01","gulf stream index",-0.413735362342038,"All"
"1988","02","gulf stream index",-0.588599381410171,"All"
"1988","03","gulf stream index",-1.26440288850871,"All"
"1988","04","gulf stream index",-1.37516676711471,"All"
"1988","05","gulf stream index",-0.604687043649348,"All"
"1988","06","gulf stream index",-0.638615910965216,"All"
"1988","07","gulf stream index",-1.09299392216643,"All"
"1988","08","gulf stream index",-0.212372525728132,"All"
"1988","09","gulf stream index",0.615543872479169,"All"
"1988","1","gulf stream index",-0.0913652580852996,"All"
"1988","11","gulf stream index",-0.382773224794465,"All"
"1988","12","gulf stream index",-1.56712163477973,"All"
"1989","01","gulf stream index",-1.46869682845822,"All"
"1989","02","gulf stream index",-1.33773639469631,"All"
"1989","03","gulf stream index",-1.36277044269095,"All"
"1989","04","gulf stream index",-0.224927346552637,"All"
"1989","05","gulf stream index",-0.724802944807309,"All"
"1989","06","gulf stream index",-0.85107089055848,"All"
"1989","07","gulf stream index",-1.26736720188397,"All"
"1989","08","gulf stream index",-0.0452761240207925,"All"
"1989","09","gulf stream index",-0.731512352993828,"All"
"1989","1","gulf stream index",-1.05786002544279,"All"
"1989","11","gulf stream index",-0.993001896270146,"All"
"1989","12","gulf stream index",-0.594203650381235,"All"
"1990","01","gulf stream index",-0.142745637097427,"All"
"1990","02","gulf stream index",-0.760150204700743,"All"
"1990","03","gulf stream index",0.459677566966222,"All"
"1990","04","gulf stream index",0.828503359133231,"All"
"1990","05","gulf stream index",-0.233972616321226,"All"
"1990","06","gulf stream index",-1.04333771422234,"All"
"1990","07","gulf stream index",-0.364199746951602,"All"
"1990","08","gulf stream index",1.33508091441934,"All"
"1990","09","gulf stream index",-0.673173307025801,"All"
"1990","1","gulf stream index",-0.288009979825964,"All"
"1990","11","gulf stream index",0.242189876107655,"All"
"1990","12","gulf stream index",1.11897067897247,"All"
"1991","01","gulf stream index",0.458141302349506,"All"
"1991","02","gulf stream index",1.51451231237134,"All"
"1991","03","gulf stream index",1.04433977832507,"All"
"1991","04","gulf stream index",1.03153086481585,"All"
"1991","05","gulf stream index",1.71675155677759,"All"
"1991","06","gulf stream index",0.901799549760341,"All"
"1991","07","gulf stream index",0.956915446525501,"All"
"1991","08","gulf stream index",-0.0554651787262186,"All"
"1991","09","gulf stream index",-1.11796000939852,"All"
"1991","1","gulf stream index",1.16777623164592,"All"
"1991","11","gulf stream index",1.1432983614603,"All"
"1991","12","gulf stream index",0.609514836886332,"All"
"1992","01","gulf stream index",1.56657267478174,"All"
